,uniq_id,product_url,product_name,product_category_tree,pid,retail_price,discounted_price,image,description,product_rating,overall_rating,brand,product_specifications
0,c2d766ca982eca8304150849735ffef9,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2ffvzetthbb?pid=SRTEH2FF9KEDEFGF,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FF9KEDEFGF,999,379,"[""http://img5a.flixcart.com/image/short/u/4/a/altht-3p-21-alisha-38-original-imaeh2d5vm5zbtgg.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5kbufss6n.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5npdybzyt.jpeg"", ""http://img5a.flixcart.com/image/short/z/j/7/altght-7-alisha-38-original-imaeh2d5jsz2ghd6.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, Navy,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTHT_3P_21 In the Box 3 shorts",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 3""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}, {""key""=>""Style Code"", ""value""=>""ALTHT_3P_21""}, {""value""=>""3 shorts""}]}"
3,0973b37acd0c664e3de26e97e5571454,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2f6sdgah2pq?pid=SRTEH2F6HUZMQ6SJ,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2F6HUZMQ6SJ,699,267,"[""http://img5a.flixcart.com/image/short/6/2/h/altght-11-alisha-38-original-imaeh2d5uq9thnyg.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5yz9fcjxe.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5fa94gzuy.jpeg"", ""http://img6a.flixcart.com/image/short/x/5/f/altght-2-alisha-36-original-imaeh2d5xnueazgz.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 2 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTGHT_11 In the Box 2 shorts",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 2""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}, {""key""=>""Style Code"", ""value""=>""ALTGHT_11""}, {""value""=>""2 shorts""}]}"
6,ce5a6818f7707e2cb61fdcdbba61f5ad,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2ftwkzykhcg?pid=SRTEH2FVVKRBAXHB,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FVVKRBAXHB,1199,479,"[""http://img6a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5cqtxe5gt.jpeg"", ""http://img5a.flixcart.com/image/short/z/j/7/altght-7-alisha-38-original-imaeh2d5jsz2ghd6.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5kbufss6n.jpeg"", ""http://img5a.flixcart.com/image/short/p/j/z/altght4p-26-alisha-38-original-imaeh2d5npdybzyt.jpeg"", ""http://img6a.flixcart.com/image/short/x/5/f/altght-2-alisha-36-original-imaeh2d5xnueazgz.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, White, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's In the Box 4 shorts Additional Details Style Code ALTGHT4P_26 Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 4""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""4 shorts""}, {""key""=>""Style Code"", ""value""=>""ALTGHT4P_26""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}]}"
9,4044c0ac52c1ee4b28777417651faf42,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2fvdphhyshh?pid=SRTEH2FVUHAAVH9X,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FVUHAAVH9X,1199,479,"[""http://img5a.flixcart.com/image/short/5/z/c/altght4p-39-alisha-38-original-imaeh2d5ar6m55zd.jpeg"", ""http://img5a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d5khxcdggw.jpeg"", ""http://img6a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d5yj4cnjtz.jpeg"", ""http://img6a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d55eacbgwg.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra White, Black, Red, Black,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTGHT4P_39 In the Box 4 shorts",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 4""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}, {""key""=>""Style Code"", ""value""=>""ALTGHT4P_39""}, {""value""=>""4 shorts""}]}"
11,c73e78fb440ff8972e0762daed4fc109,http://www.flipkart.com/carrel-printed-women-s/p/itmehf3ednm5fvyt?pid=SWIEHF3EF5PZAZUY,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",SWIEHF3EF5PZAZUY,2299,910,"[""http://img6a.flixcart.com/image/swimsuit/5/v/9/carrel-sw-3091-black-white01-carrel-4xl-original-imaehyzm2sywfavb.jpeg"", ""http://img5a.flixcart.com/image/swimsuit/g/g/x/carrel-sw-3091-black-white01-carrel-xl-original-imaehyzmmvg6b7uy.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/5/v/9/carrel-sw-3091-black-white01-carrel-4xl-original-imaehyzmvffqbdde.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/5/v/9/carrel-sw-3091-black-white01-carrel-4xl-original-imaehyzmgnqtwjpg.jpeg"", ""http://img5a.flixcart.com/image/swimsuit/5/v/9/carrel-sw-3091-black-white01-carrel-4xl-original-imaehyzmb4smucms.jpeg""]","Key Features of Carrel Printed Women's Fabric: SwimLycra Brand Color: Black, White,Carrel Printed Women's Price: Rs. 910 Max-coverage swimwear collection from CARREL BRAND, Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Black & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool, beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded, for modesty and support. This Product Support To This Size : L, XL, XXL, 3XL,4XL.,Specifications of Carrel Printed Women's Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Women's Occasion Sports Fabric Care Wash with Similar Colors, Use Detergent for Colors In the Box 1 Swimware",No rating available,No rating available,Carrel,"{""product_specification""=>[{""key""=>""Neck"", ""value""=>""Round Neck""}, {""key""=>""Fabric"", ""value""=>""SwimLycra""}, {""key""=>""Type"", ""value""=>""Swim-dress""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Occasion"", ""value""=>""Sports""}, {""value""=>""Wash with Similar Colors, Use Detergent for Colors""}, {""value""=>""1 Swimware""}]}"
13,9aacdecceb404c74abddc513fd2756a8,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2fgcjz4mzvu?pid=SRTEH2FGBDJGX8FW,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FGBDJGX8FW,999,379,"[""http://img6a.flixcart.com/image/short/q/z/v/altht-3p-17-alisha-36-original-imaeh2d5njykvkz6.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5yz9fcjxe.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5fa94gzuy.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black, White, Black,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTHT_3P_17 In the Box 3 shorts",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 3""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}, {""key""=>""Style Code"", ""value""=>""ALTHT_3P_17""}, {""value""=>""3 shorts""}]}"
15,d95b0456a0350bc42f2393c6e84b0f09,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2fehghynve9?pid=SRTEH2FECMGNZJXJ,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FECMGNZJXJ,999,379,"[""http://img5a.flixcart.com/image/short/t/p/b/altht-3p-2-alisha-38-original-imaeh2d53jbrxnam.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5yz9fcjxe.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5fa94gzuy.jpeg"", ""http://img5a.flixcart.com/image/short/z/h/b/altght-9-alisha-36-original-imaeh2d5khxcdggw.jpeg""]","Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black, White, White,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTHT_3P_2 In the Box 3 shorts",No rating available,No rating available,Alisha,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 3""}, {""key""=>""Fabric"", ""value""=>""Cotton Lycra""}, {""key""=>""Type"", ""value""=>""Cycling Shorts""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}, {""key""=>""Style Code"", ""value""=>""ALTHT_3P_2""}, {""value""=>""3 shorts""}]}"
18,4f3511c33a6869b1d5102cd97818ef00,http://www.flipkart.com/carrel-printed-women-s/p/itmehf3hmxnuawtn?pid=SWIEHF3H7WG6VGMR,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",SWIEHF3H7WG6VGMR,2499,999,"[""http://img5a.flixcart.com/image/swimsuit/g/z/j/carrel-sw-3091-darkblue-white-carrel-4xl-original-imaehyzmk8hphgua.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/g/z/j/carrel-sw-3091-darkblue-white-carrel-4xl-original-imaehyzmmgz3fgny.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/g/z/j/carrel-sw-3091-darkblue-white-carrel-4xl-original-imaehyzmjgcfwacx.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/g/z/j/carrel-sw-3091-darkblue-white-carrel-4xl-original-imaehyzms4b9k2vf.jpeg"", ""http://img6a.flixcart.com/image/swimsuit/g/z/j/carrel-sw-3091-darkblue-white-carrel-4xl-original-imaehyzmgf2j2yh4.jpeg""]","Key Features of Carrel Printed Women's Fabric: SwimLycra Brand Color: DARK BLUE, WHITE,Carrel Printed Women's Price: Rs. 999 Max-coverage swimwear collection from CARREL BRAND, Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Darkblue & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool, beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded, for modesty and support. This Product Support To This Size : L, XL, XXL, 3XL,4XL.,Specifications of Carrel Printed Women's Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Women's Occasion Sports Fabric Care Wash with Similar Colors, Use Detergent for Colors In the Box 1 Swimware",No rating available,No rating available,Carrel,"{""product_specification""=>[{""key""=>""Neck"", ""value""=>""Round Neck""}, {""key""=>""Fabric"", ""value""=>""SwimLycra""}, {""key""=>""Type"", ""value""=>""Swim-dress""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Occasion"", ""value""=>""Sports""}, {""value""=>""Wash with Similar Colors, Use Detergent for Colors""}, {""value""=>""1 Swimware""}]}"
21,ea98a65ad1e1b8688eddf89fbc7b3e27,http://www.flipkart.com/alisha-solid-women-s-cycling-shorts/p/itmeh2fdc4esfsym?pid=SRTEH2FD3ANFFMHP,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",SRTEH2FD3ANFFMHP,brand,brand,"[""http://img6a.flixcart.com/image/short/m/g/y/altht-3p-18-alisha-34-original-imaeh2d5zgnh6vsb.jpeg"", ""http://img5a.flixcart.com/image/short/m/g/y/altht-3p-18-alisha-34-original-imaeh2d5zgnh6vsb.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5jxvh4msy.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5yz9fcjxe.jpeg"", ""http://img6a.flixcart.com/image/short/p/h/t/altht-3p-1-alisha-34-original-imaeh2d5fa94gzuy.jpeg"", ""http://img5a.flixcart.com/image/short/z/j/7/altght-7-alisha-38-original-imaeh2d5jsz2ghd6.jpeg""]","Alisha Solid Women's Cycling Shorts - Buy Black, White, Navy Alisha Solid Women's Cycling Shorts For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com",No rating available,No rating available,Alisha,brand
22,7a7ba93ab20a2b50fd5a7dc74bcba063,http://www.flipkart.com/dongli-printed-boy-s-round-neck-t-shirt/p/itmehbhxtchxzghk?pid=TSHEHBHSKBJWHFNF,dongli Printed Boy's Round Neck T-Shirt,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",TSHEHBHSKBJWHFNF,2400,1039,"[""http://img5a.flixcart.com/image/t-shirt/w/x/t/dlhbb445-beige-black-gyellow-purple-dongli-10-11-years-original-imaehb54gxhchxcd.jpeg"", ""http://img6a.flixcart.com/image/t-shirt/w/x/t/dlhbb445-beige-black-gyellow-purple-dongli-10-11-years-original-imaehb54gxhchxcd.jpeg"", ""http://img5a.flixcart.com/image/t-shirt/f/n/f/dlhbb445-beige-black-gyellow-purple-dongli-15-16-years-original-imaehb55kjd6g4kg.jpeg"", ""http://img6a.flixcart.com/image/t-shirt/g/y/5/dlhbb445-beige-black-gyellow-purple-dongli-12-13-years-original-imaehb54re656maf.jpeg""]","Specifications of dongli Printed Boy's Round Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric Cotton Type Round Neck Fit Regular General Details Pattern Printed Occasion Casual Ideal For Boy's In the Box 4 T Shirt Additional Details Style Code DLHBB445_BEIGE_BLACK_GYELLOW_PURPLE Fabric Care Wash with Similar Colors, Use Detergent for Colors",No rating available,No rating available,dongli,"{""product_specification""=>[{""key""=>""Sleeve"", ""value""=>""Half Sleeve""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 4""}, {""key""=>""Fabric"", ""value""=>""Cotton""}, {""key""=>""Type"", ""value""=>""Round Neck""}, {""key""=>""Fit"", ""value""=>""Regular""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Boy's""}, {""value""=>""4 T Shirt""}, {""key""=>""Style Code"", ""value""=>""DLHBB445_BEIGE_BLACK_GYELLOW_PURPLE""}, {""value""=>""Wash with Similar Colors, Use Detergent for Colors""}]}"
